Datums;Valsts;14DienuKumulativaIncidence;Izcelosana;Pasizolacija;PersIrVakcParslSert_PasizolacijaLatvija;PersIrVakcParslSert_TestsPirmsIebrauksanasLV;PersIrVakcParslSert_TestsPecIebrauksanasLV;CitasPersonas_PasizolacijaLatvija;CitasPersonas_TestsPirmsIebrauksanasLV;CitasPersonas_TestsPecIebrauksanasLV
2020.08.07.;Luksemburga;182.6;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Rumānija;85.6;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Spānija;79.8;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Andora;64.7;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no  valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Beļģija;52.9;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Sanmarīno;50.1;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Bulgārija;40.9;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Malta;33.6;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Monako;33.1;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Zviedrija;31.3;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Čehija;27.6;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Nīderlande;26.5;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
2020.08.07.;Portugāle;26.1;Rekomendēts nebraukt;14 dienas pēc izbraukšanas no valsts vai valsts šķērsošanas tranzīta nolūkā;…;…;…;…;…;…
